,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET
SEX,-4.440892098500626e-15,0.0009731599208277512,-0.004147102820479047,-0.000551921841653244,0.0027174742733258386,-0.0006682139302391296,0.00368564955815312,0.0029262149694782164
MSP,0.0009731599208277512,0.0,0.003959580616130466,-0.006981641383474346,0.0037919072516626393,-0.006117765687637167,-0.0014919668430240784,0.0128625917468273
RAC1P,-0.004147102820479047,0.003959580616130466,0.0,0.007726154786495323,-0.010235857700989934,-0.0028414539466269095,0.004777916877994684,0.025860217105716708
HOUSING_TYPE,-0.000551921841653244,-0.006981641383474346,0.007726154786495323,-7.771561172376096e-16,0.0010108582586356718,0.00029592638812970563,-0.0006591429984404429,0.015640867195613854
OWN_RENT,0.0027174742733258386,0.0037919072516626393,-0.010235857700989934,0.0010108582586356718,4.440892098500626e-16,-0.006360563521912041,0.007040077569905535,0.00816320754843987
EDU,-0.0006682139302391296,-0.006117765687637167,-0.0028414539466269095,0.00029592638812970563,-0.006360563521912041,1.2212453270876722e-15,-0.009283740700911314,-0.03523716592559011
PINCP_DECILE,0.00368564955815312,-0.0014919668430240784,0.004777916877994684,-0.0006591429984404429,0.007040077569905535,-0.009283740700911314,0.0,-0.06061522169699029
DVET,0.0029262149694782164,0.0128625917468273,0.025860217105716708,0.015640867195613854,0.00816320754843987,-0.03523716592559011,-0.06061522169699029,-2.1094237467877974e-15
